Food,Protein,TotalFat,SaturatedFat,Cholesterol,Iron,Sodium,Potassium,Magnesium,Phosphorus,VitaminA,VitaminD,VitaminB12,VitaminE,Riboflavin,Calcium,Thiamin,VitaminC,,,,
,g,g,g,mg,mg,mg,mg,mg,mg,RAE,µg,µg,mg,mg,mg,mg,mg,,,,
"Artichoke hearts, marinated in oil",1,2,,,0.3,79,93,16,23,2,,0,,,12,,3,,,,
"Artichoke, boiled, drained",4,,,,1.5,114,425,72,103,11,,0,,,54,,12,,,,
"Asparagus, canned, drained",2,1,,,2,310,186,11,46,44,,0,,,17,,20,,,,
"Asparagus, fresh or frozen, boiled, drained",2,,,,0.7,8,178,11,46,41,,0,,,18,,14,,,,
"Bean sprouts, stir-fried",3,,,,1.2,6,143,22,52,1,,0,,,9,,10,,,,
"Beans, lima, frozen, boiled, drained",6,,,,1.9,28,391,53,107,8,,0,,,27,,6,,,,
"Beans, snap (green, yellow, Italian), canned, drained",1,,,,0.6,187,78,9,14,16,,0,,,19,,2,,,,
"Beans, snap (green, yellow, Italian), fresh or frozen, boiled, drained",1,,,,0.5,4,97,15,21,22,,0,,,33,,5,,,,
"Beets, pickled, sliced, not drained",1,,,,0.5,317,177,18,20,1,,0,,,13,,3,,,,
"Beets, sliced, boiled, drained",2,,,,0.7,69,274,21,34,2,,0,,,14,,3,,,,
"Beets, sliced, canned, drained",1,,,,1.6,174,133,15,15,1,,0,,,13,,6,,,,
"Belgium endive, raw",,,,,0.1,1,112,5,14,1,,0,,,10,,1,,,,
"Bok Choy, Pak-Choi, shredded, boiled, drained",1,,,,0.9,31,333,10,26,190,,0,,,84,,23,,,,
"Broccoli, chopped, boiled, drained",2,,,,0.6,34,241,17,55,81,,0,,,33,,53,,,,
"Broccoli, chopped, raw",1,,,,0.3,15,147,10,31,15,,0,,,22,,41,,,,
"Broccoli, frozen spears, boiled, drained",3,,,,0.6,23,175,19,53,54,,0,,,50,,39,,,,
"Brussels sprouts, fresh or frozen, boiled, drained",3,,,,0.7,15,255,16,47,36,,0,,,26,,45,,,,
"Cabbage, green, shredded, boiled, drained",1,,,,0.1,6,77,6,12,6,,0,,,25,,16,,,,
"Cabbage, green, shredded, raw",1,,,,0.2,7,91,6,9,3,,0,,,17,,12,,,,
"Cabbage, napa, shredded, boiled, drained",1,,,,0.4,6,50,5,11,7,,0,,,17,,2,,,,
"Cabbage, red, shredded, raw",1,,,,0.3,10,90,6,11,21,,0,,,17,,21,,,,
"Carrots, baby, raw",1,,,,0.7,62,190,8,22,552,,0,,,26,,7,,,,
"Carrots, fresh or frozen, boiled, drained",1,,,,0.3,45,165,8,24,652,,0,,,25,,2,,,,
"Carrots, raw",1,,,,0.2,42,195,7,21,367,,0,,,20,,4,,,,
"Cauliflower, pieces, boiled, drained",1,,,,0.2,10,93,6,21,1,,0,,,10,,29,,,,
"Cauliflower, pieces, raw",1,,,,0.2,16,160,8,23,1,,0,,,12,,25,,,,
"Celery, raw",,,,,0.1,32,104,4,10,9,,0,,,16,,1,,,,
"Corn, sweet, canned, cream style",2,1,,,0.5,385,181,23,69,5,,0,,,4,,6,,,,
"Corn, sweet, canned, niblets",3,1,,,0.5,302,206,26,71,4,,0,,,6,,6,,,,
"Corn, sweet, on or off cob, fresh or frozen, boiled, drained",3,1,,,0.5,8,209,26,79,7,,0,,,2,,4,,,,
"Cucumber, peeled, raw",,,,,0.1,1,38,3,6,1,,0,,,4,,1,,,,
Edamame,9,4,,,1.9,5,357,52,138,,,0,,,52,,5,,,,
"Eggplant, pieces, boiled, drained",,,,,0.1,1,64,6,8,1,,0,,,3,,1,,,,
"Fiddleheads, frozen, boiled",4,,,,1,,244,26,78,171,,0,,,27,,22,,,,
"Fireweed leaves, raw",1,,,,0.3,4,60,19,13,22,,0,,,52,,,,,,
"Hearts of palm, canned",2,,,,2.1,281,117,25,43,0,,0,,,38,,5,,,,
"Kale, chopped, boiled, drained",1,,,,0.6,16,157,12,19,468,,0,,,49,,28,,,,
"Leeks, chopped, boiled, drained",,,,,0.6,5,48,8,9,1,,0,,,16,,2,,,,
"Lettuce, Boston, shredded",1,,,,0.7,3,138,8,19,96,,0,,,20,,2,,,,
"Lettuce, iceberg, shredded",1,,,,0.2,6,82,4,12,15,,0,,,10,,2,,,,
"Lettuce, looseleaf, shredded",1,,,,0.5,17,115,8,17,219,,0,,,21,,11,,,,
"Lettuce, romaine, shredded",1,,,,0.6,5,146,8,18,172,,0,,,20,,14,,,,
"Lettuce, spring mix (mesclun)",1,,,,0.7,21,202,19,23,124,,0,,,43,,9,,,,
"Mushrooms, pieces, canned, drained",2,,,,0.7,350,106,12,54,0,,0,,,9,,1,,,,
"Mushrooms, portobello, grilled",4,1,,,0.5,9,443,13,128,0,,0,,,3,,0,,,,
"Mushrooms, raw",2,,,,0.3,2,170,5,46,0,,0.02,,,2,,1,,,,
"Mushrooms, shiitake, sliced, stir-fried",2,,,,0.3,3,186,11,63,0,,0,,,1,,0,,,,
"Mushrooms, white, sliced, stir-fried",2,,,,0.1,7,226,6,60,0,,0,,,2,,0,,,,
"Onions, green (scallion), raw",,,,,0.2,2,41,3,6,8,,0,,,11,,3,,,,
"Onions, yellow, chopped, raw",,,,,0.1,1,58,4,11,0,,0,,,9,,3,,,,
"Onions, yellow, chopped, sauteed",,5,,,0.1,6,61,4,15,,,0,,,9,,1,,,,
"Parsnip, sliced, boiled, drained",1,,,,0.5,8,302,24,57,0,,0,,,30,,11,,,,
"Peas, green, canned, drained",4,,,,0.9,226,155,15,60,24,,0,,,18,,9,,,,
"Peas, green, frozen, boiled, drained",4,,,,1.3,61,93,19,65,89,,0,,,20,,8,,,,
"Peas, snowpeas, boiled, drained",3,,,,1.7,3,203,22,46,44,,0,,,36,,40,,,,
"Peas, snowpeas, raw",1,,,,0.7,1,68,8,18,18,,0,,,15,,20,,,,
"Pepper, jalapeno, raw",,,,,0.1,,30,3,4,6,,0,,,1,,6,,,,
"Pepper, sweet, green, raw",1,,,,0.3,2,144,8,16,15,,0,,,8,,66,,,,
"Pepper, sweet, green, sauteed",1,9,,,0.2,13,100,6,11,8,,0,,,6,,132,,,,
"Pepper, sweet, red, raw",1,,,,0.3,1,126,7,15,93,,0,,,4,,113,,,,
"Pepper, sweet, red, sauteed",1,9,,,0.4,16,144,9,17,98,,0,,,5,,121,,,,
"Pepper, sweet, yellow, raw",1,,,,0.4,2,197,11,22,9,,0,,,10,,171,,,,
"Pepper, sweet, yellow, sauteed",1,2,,,0.3,175,153,9,18,30,,,,,9,,132,,,,
"Potato, baked, flesh",3,,,,0.5,8,610,39,78,0,,0,,,8,,20,,,,
"Potato, baked, flesh and skin",4,,,,1.9,17,926,48,121,2,,0,,,26,,17,,,,
"Potato, boiled without skin",2,,,,0.4,7,443,27,54,0,,0,,,11,,10,,,,
"Potato, boiled, flesh and skin",3,,,,1.3,7,572,34,67,0,,0,,,13,,18,,,,
"Potato, canned, drained",2,,,,1.8,307,321,20,39,0,,0,,,7,,7,,,,
"Potato, microwaved, flesh and skin",5,,,,2.5,16,903,55,212,0,,0,,,22,,31,,,,
"Potato, microwaved, peeled after cooking",3,,,,0.6,11,641,39,170,0,,0,,,8,,24,,,,
"Potatoes, French fried, frozen, home-prepared in oven",2,4,,,0.6,14,201,11,40,0,,0,,,4,,5,,,,
"Potatoes, hashed brown, plain, frozen, heated",3,9,,,1.2,28,359,14,59,0,,0,,,12,,5,,,,
"Potatoes, mashed, dried, 2% milk and margarine added",3,4,,,0.2,284,235,15,59,61,,0.13,,,46,,14,,,,
"Potatoes, mashed, homemade with 2% milk and margarine",2,4,,,0.3,327,321,20,51,19,,0.06,,,29,,7,,,,
"Potatoes, scalloped, from mix with water, 2% milk and margarine",3,5,,,0.4,420,243,17,81,64,,0.11,,,66,,3,,,,
"Potatoes, scalloped, homemade",4,5,,,0.7,434,489,25,82,,,0,,,74,,14,,,,
"Pumpkin, canned",1,,,,1.8,6,267,30,45,1007,,0,,,34,,5,,,,
"Radicchio, chopped",,,,,0.1,5,64,3,8,,,0,,,4,,2,,,,
Radishes,,,,,,5,31,1,3,0,,0,,,3,,2,,,,
"Rutabaga (yellow turnip), diced, boiled, drained",1,,,,0.5,18,293,21,50,13,,0,,,43,,17,,,,
"Sauerkraut, canned, not drained",1,,,,1.1,496,128,10,15,1,,0,,,23,,11,,,,
"Seaweed, dulse, dried",1,,,,0.4,11,84,,14,62,,0,,,17,,9,,,,
"Spinach, boiled, drained",3,,,,3.4,67,443,83,53,498,,0,,,129,,9,,,,
"Spinach, chopped, raw",1,,,,0.9,25,177,25,16,149,,0,,,31,,9,,,,
"Squash, acorn, cubed, baked",1,,,,1,4,473,47,49,23,,0,,,48,,12,,,,
"Squash, butternut, cubed, baked",1,,,,0.6,4,308,31,29,413,,0,,,44,,16,,,,
"Squash, spaghetti, baked",1,,,,0.3,15,96,9,11,5,,0,,,17,,3,,,,
"Sweet potato, baked, peeled after cooking",1,,,,0.4,21,271,15,31,548,,0,,,22,,11,,,,
"Sweet potato, boiled without skin",1,,,,0.5,20,174,14,24,594,,0,,,20,,10,,,,
"Swiss chard, chopped, boiled, drained",2,,,,2.1,165,508,80,31,283,,0,,,54,,17,,,,
"Tomatoes, canned, stewed",1,,,,1.8,298,279,16,27,12,,0,,,46,,11,,,,
"Tomatoes, canned, whole",1,,,,1.2,162,238,14,24,8,,0,,,39,,18,,,,
"Tomatoes, raw",1,,,,0.3,6,292,14,30,52,,0,,,12,,16,,,,
"Tomatoes, sun-dried",,,,,0.2,42,69,4,7,1,,0,,,2,,1,,,,
"Tomatoes, sun-dried, packed in oil, drained",,,,,0.1,8,47,2,4,2,,0,,,1,,3,,,,
"Turnip (white turnip), cubed, boiled, drained",1,,,,0.1,13,146,7,21,0,,0,,,27,,10,,,,
"Vegetables, Asian mix  (broccoli, carrots, green beans, ""mini corn"", snow peas, sweet red pepper), frozen, boiled, drained",1,,,,0.5,15,128,13,32,192,,0,,,24,,22,,,,
"Vegetables, broccoli and cauliflower, frozen, boiled, drained",2,,,,0.5,20,152,14,38,27,,0,,,33,,34,,,,
"Vegetables, mixed (corn, lima beans, snap beans, peas, carrots), frozen, boiled, drained",3,,,,0.8,34,163,21,49,206,,0,,,24,,3,,,,
"Vegetables, peas and carrots, canned, not drained",3,,,,1,350,135,19,62,389,,0,,,31,,9,,,,
"Zucchini, raw, slices",,,,,0.1,4,104,7,15,4,,0,,,6,,7,,,,
"Zucchini, sliced, boiled, drained",1,,,,0.3,3,241,21,38,53,,0,,,12,,4,,,,
Carrot juice,1,,,,0.6,36,364,17,52,966,,0,,,30,,11,,,,
"Coleslaw with dressing, homemade",1,2,,,0.4,15,115,6,20,34,,0,,,29,,21,,,,
"Potato salad, homemade",4,15,,,0.7,579,276,17,66,57,,0.2,,,28,,17,,,,
Tomato clam cocktail,1,,,,0.2,462,114,6,14,9,,0.04,,,10,,6,,,,
Tomato juice,1,,,,0.6,345,294,14,23,30,,0,,,13,,10,,,,
"Tomato juice, without added salt",1,,,,0.8,18,421,20,33,42,,0,,,18,,34,,,,
"Tomato sauce for spaghetti, canned",2,6,,,0.9,652,505,32,47,82,,0,,,37,,15,,,,
"Tomato sauce, canned",2,,,,1.3,678,428,21,34,22,,0,,,17,,8,,,,
Vegetable juice cocktail,1,,,,0.5,345,247,14,22,100,,0,,,14,,35,,,,
"Vegetable juice cocktail, low sodium",1,,,,0.5,89,247,14,22,66,,0,,,14,,35,,,,
"Egg substitute, frozen (yolk replaced), cooked",14,17,2.9,2,2.4,291,258,,88,60,1.9,0.35,2.2,,89,,,,,,
"Egg white, cooked",3,0,0,0,,106,39,,4,0,0,0.01,0,,3,,,,,,
"Egg yolk, cooked",3,6,1.7,202,0.7,34,17,,64,106,0.8,0.88,1.4,,22,,,,,,
"Egg, fried",12,14,3.6,367,1.4,322,116,,127,236,1.9,1.62,2.7,,46,,,,,,
"Egg, hard-boiled",6,5,1.6,216,0.6,62,63,,86,85,0.7,0.56,0.5,,25,,,,,,
"Egg, poached",6,5,1.5,215,0.9,147,67,,95,70,0.4,0.64,0.5,,27,,,,,,
Eggs benedict,34,35,12.5,458,4,2015,456,,453,265,2.1,1.96,1.7,,189,,,,,,
"Eggs, scrambled, made with 2 eggs",13,14,4.1,363,1.4,476,171,,160,253,2.3,1.73,2.6,,90,,,,,,
"Omelet, cheese, made with 2 eggs",18,20,8,376,1.6,890,241,,356,304,2.3,1.99,2.7,,238,,,,,,
"Omelet, spanish, made with 2 eggs (mushrooms, onions, green peppers, tomatoes)",15,24,5.7,353,1.8,607,514,,211,403,4.3,1.7,3.7,,111,,,,,,
"Omelet, western, made with 2 eggs (green peppers, ham, onions)",17,17,5.1,346,1.5,720,258,,202,231,2.2,1.72,2.5,,86,,,,,,
"Anchovies, canned in oil, drained solids",2,1,0.2,7,0.4,293,44,,20,1,0.1,0.07,0.3,,19,,,,,,
"Arctic char, boiled",20,4,0.7,,0.4,38,,,188,68,2.8,,,,23,,,,,,
"Bass, mixed species, baked or broiled",18,4,0.8,65,1.4,68,342,,192,26,,1.73,,,77,,,,,,
"Burbot (loche), raw",16,1,0.1,54,0.3,63,288,,171,5,0.5,0.72,,,22,,,,,,
"Catfish, channel, farmed, baked or broiled",14,6,1.3,48,0.6,60,241,,184,11,,2.1,1,,7,,,,,,
"Cisco (lake herring, tullibee), baked or broiled",17,3,,,0.5,38,312,,188,0,,,,,38,,,,,,
"Cisco (lake herring, tullibee), raw",17,2,1.1,45,0.4,50,319,,137,27,,0.9,,,10,,,,,,
"Cod, Atlantic, baked or broiled",17,1,0.1,41,0.4,59,183,,104,11,0.5,0.79,0.6,,11,,,,,,
"Cod, Atlantic, dried and salted, soaked in water",13,1,0.1,32,0.5,1353,265,,183,9,0.5,1.82,0.6,,35,,,,,,
Gefiltefish,7,1,0.3,23,1.9,393,68,,55,20,,0.63,,,17,,,,,,
"Grayling, baked or broiled",17,1,,,0.5,,,,,,,,,,29,,,,,,
"Haddock, baked or broiled",18,1,0.1,56,1,65,299,,181,14,0.2,1.04,0.4,,32,,,,,,
"Halibut, Atlantic and Pacific, baked or broiled",20,2,0.3,31,0.8,52,432,,214,41,3.6,1.03,2.2,,45,,,,,,
"Herring, Atlantic, kippered",18,9,2.1,62,1.1,689,335,,244,30,1.6,14.03,1.2,,63,,,,,,
"Mackerel, Atlantic, baked or broiled",18,13,3.1,56,1.2,62,301,,209,41,2,14.25,1.5,,11,,,,,,
"Ocean Perch, Atlantic, baked or broiled",18,2,0.2,41,0.9,72,263,,208,11,,0.86,1.2,,103,,,,,,
"Pickerel (Walleye), baked or broiled",18,1,0.2,83,1.3,49,374,,202,18,3.5,1.73,,,106,,,,,,
"Pike, northern, baked or broiled",16,1,0.2,38,0.3,23,323,,180,1,2.4,1.73,0.2,,33,,,,,,
"Pollock, Atlantic, baked or broiled",19,1,0.1,68,0.4,83,342,,212,9,1.4,2.76,0.2,,58,,,,,,
"Salmon, Atlantic, farmed, baked or broiled",17,9,1.9,47,0.3,46,288,,189,11,5.1,2.1,,,11,,,,,,
"Salmon, chum (keta), baked or broiled",19,4,0.8,71,0.5,48,413,,272,26,14,2.6,1.1,,11,,,,,,
"Salmon, chum (keta), canned, drained solids with bone, salted",16,4,1.1,29,0.5,365,225,,266,14,5,3.3,1.2,,187,,,,,,
"Salmon, chum (keta), canned, drained solids with bone, unsalted",16,4,1.1,29,0.5,56,225,,266,14,4.2,3.3,1.2,,187,,,,,,
"Salmon, coho, farmed, baked or broiled",18,6,1.5,47,0.3,39,345,,249,44,,2.38,0.7,,9,,,,,,
"Salmon, eggs, raw",24,9,2.1,,0.6,45,369,,198,,,,,,11,,,,,,
"Salmon, king or chinook, smoked, canned",17,4,,,1.4,,,,,72,,,,,45,,,,,,
"Salmon, pink, canned, drained solids with bone",17,4,0.6,62,0.7,299,233,,274,17,,3.71,1,,208,,,,,,
"Salmon, smoked",7,2,0.4,9,0.3,314,70,,66,10,4.2,1.3,0.5,,4,,,,,,
"Salmon, smoked, lox",7,2,0.4,9,0.3,800,70,,66,10,4.2,1.3,,,4,,,,,,
"Salmon, sockeye, baked or broiled",20,8,1.4,65,0.4,50,281,,207,47,17,4.35,2.3,,5,,,,,,
"Sardines, Atlantic, canned in oil, drained solids with bones",26,12,1.6,151,3.1,535,421,,519,34,2.5,9.48,2.2,,405,,,,,,
"Sardines, Pacific, canned in tomato sauce, drained with bones",22,11,2.8,65,2.4,439,361,,388,36,12.7,9.54,1.5,,254,,,,,,
"Smelt, breaded and fried",17,10,2.5,79,1,,332,,246,20,,,,,31,,,,,,
"Snapper, mixed species, baked or broiled",20,1,0.3,35,0.2,43,392,,151,26,2.2,2.63,0.5,,30,,,,,,
"Sole (flatfish), baked or broiled",18,1,0.3,51,0.3,79,258,,217,10,1.1,1.88,0.5,,14,,,,,,
"Trout, rainbow, farmed, baked or broiled",18,5,1.6,51,0.2,32,331,,200,65,4.8,3.73,0,,65,,,,,,
"Tuna, light, canned in water, drained, salted",19,1,0.2,23,1.1,254,178,,122,13,0.9,2.24,0.3,,8,,,,,,
"Tuna, light, canned with oil, drained, salted",22,6,1.2,14,1,266,155,,233,17,0.7,1.65,0.7,,10,,,,,,
"Turbot, baked or broiled",15,3,,47,0.3,144,229,,124,9,,1.91,,,17,,,,,,
"Whitefish, lake, native, baked",17,3,0.9,58,0.3,33,294,,168,8,11.3,0.72,,,12,,,,,,
"Clams, mixed species, boiled or steamed",15,1,0.1,40,16.8,67,377,,203,103,0.1,59.33,0.4,,55,,,,,,
"Clams, mixed species, canned, drained solids",22,2,0.2,57,23.6,95,531,,286,153,0.1,83.59,0.5,,78,,,,,,
"Crab, canned, drained",15,1,0.2,63,0.6,238,267,,185,1,,0.33,1.3,,72,,,,,,
"Crab, snow, boiled or steamed",15,1,0.1,44,1.8,431,125,,80,32,,6.47,,,21,,,,,,
"Crayfish, mixed species, farmed, boiled or steamed",11,1,0.1,82,0.7,58,143,,145,9,,1.86,,,31,,,,,,
"Lobster, boiled or steamed",16,,0.1,55,0.3,291,270,,142,20,,2.38,0.8,,47,,,,,,
"Mussels, boiled or steamed",18,3,0.6,42,5,277,201,,214,68,0.2,18,0.8,,25,,,,,,
"Oysters, boiled or steamed",6,2,0.6,44,5,177,118,,85,23,3.4,14.71,0.7,,38,,,,,,
"Oysters, canned, solids and liquid",9,3,0.8,72,8.8,147,300,,182,118,,25.06,1.1,,59,,,,,,
"Oysters, raw",4,1,0.4,21,4.9,150,104,,78,7,,13.61,0.5,,37,,,,,,
"Scallops, cooked, steamed",18,1,0.1,41,2.3,207,371,,264,23,0,1.01,1.2,,90,,,,,,
"Shrimp, boiled or steamed",6,,0.1,59,0.9,67,55,,41,20,,0.45,0.4,,12,,,,,,
"Calamari, breaded and fried",14,7,1.7,197,1,303,216,,194,17,0.1,1.02,1,,45,,,,,,
"Caviar, black or red",4,3,0.7,95,1.9,243,29,,58,91,0.5,3.25,1.1,,45,,,,,,
Crab cake,12,5,0.9,90,0.6,198,194,,128,34,,3.56,,,63,,,,,,
"Crab, imitation, made from surimi",8,1,0.2,13,0.3,560,60,,188,13,1.2,1.07,0.1,,9,,,,,,
Fish cake,16,12,3.3,63,0.8,290,526,,201,28,1.5,0.73,0.7,,30,,,,,,
"Fish fillet, battered and fried",22,15,3.6,71,1,133,508,,266,23,0.8,1.02,1,,42,,,,,,
"Fish sticks, frozen and reheated (10cm x 2.5cm x 1.3cm)",13,10,2.6,93,0.6,485,217,,151,26,0.1,1.5,0.4,,17,,,,,,
"Shrimp, breaded and fried",14,8,1.4,117,0.8,227,149,,144,,,1.23,,,44,,,,,,
Tuna salad,17,10,1.7,14,1.1,435,193,,193,26,3.6,1.3,,,18,,,,,,
"Chai, latte",5,3,2,13,0.1,67,263,19,150,88,,,,,186,,,,,,
"Coffee, brewed",,,,0,,5,123,8,8,0,,,,,5,,0,,,,
"Coffee, brewed, decaffeinated",,0,0,0,0.1,5,135,13,3,0,,,,,5,,0,,,,
"Coffee, instant, regular, powder + water",,,,0,0.1,5,76,8,8,0,,,,,10,,0,,,,
"Coffee, latte",5,6,3.5,16,0.2,79,340,89,156,46,,,,,188,,,,,,
"Coffee, substitute, powder + water",,,,0,0.2,8,79,10,18,0,,,,,8,,0,,,,
Iced cappuccino - original - with cream (Tim HortonsTM),2,9,5,38,0.3,42,,,,,,,,,80,,0,,,,
Iced cappuccino - with 2% milk (Tim HortonsTM),3,1,1,4,0.3,30,,,,,,,,,70,,0,,,,
"Iced coffee, Frappuccino (StarbucksTM)",3,2,1,7,0,120,,,,,,,,,110,,0,,,,
"Iced tea, lemon flavor, ready-to-drink",0,0,0,0,,53,,,,0,,,,,,,,,,,
"Iced tea, lemon flavour, powder + water",,,,0,0.1,8,52,5,3,0,,,,,5,,,,,,
"Tea, brewed",0,,,0,0.1,8,93,8,3,0,,,,,0,,0,,,,
"Tea, brewed, herbal",0,,,0,0.2,3,23,3,0,0,,,,,5,,0,,,,
Club soda,0,0,0,0,,53,5,3,0,0,,,,,13,,0,,,,
Cola,,0,0,0,0.1,10,3,3,34,0,,,,,8,,0,,,,
"Cola, aspartame sweetened",,0,0,0,0.1,13,15,3,28,0,,,,,8,,0,,,,
"Cola, decaffeinated",0,0,0,0,0.1,10,8,0,29,0,,,,,5,,0,,,,
Ginger ale,0,0,0,0,0.5,18,3,3,0,0,,,,,8,,0,,,,
Lemon-lime soda,0,0,0,0,0.2,29,3,3,0,0,,,,,5,,0,,,,
"Non cola soda, aspartame sweetened",0,0,0,0,0.1,40,5,3,0,0,,,,,10,,0,,,,
Orange soda,0,0,0,0,0.2,31,5,3,3,0,,,,,13,,0,,,,
Tonic water,0,0,0,0,,15,0,0,0,0,,,,,4,,0,,,,
"Citrus juice drink, frozen, diluted (Five AliveTM)",,,0,0,1.8,5,128,10,10,3,,,,,13,,38,,,,
"Fruit flavour drink, low Calorie, powder + water (Crystal LightTM)",0,,0,0,,6,0,3,2,,,,,,6,,0,,,,
"Fruit punch flavour drink, powder (Kool-AidTM) + water",0,,,0,0.1,39,3,3,55,0,,,,,44,,0,,,,
"Fruit punch flavour drink, vitamin C added, powder + water",0,,,0,0.1,39,3,3,55,0,,,,,44,,100,,,,
"Fruit punch juice drink, ready-to-drink (Sunny DTM)",0,0,0,0,0.1,26,31,,3,0,,,,,3,,3,,,,
"Lemonade, pink or white, frozen, diluted",,,,0,0.4,6,39,5,5,0,,,,,8,,10,,,,
"Mixed vegetable and fruit juice drink, ready-to-drink (V8 SplashTM)",,,0,0,0.2,41,62,5,8,259,,,,,10,,81,,,,
"Orange drink, vitamin C added (Hi-CTM), ready-to-drink",0,,,0,0.7,42,47,5,3,3,,,,,16,,94,,,,
"Orange drink, vitamin C added (TangTM, QuenchTM, Rise'n ShineTM), powder + water",0,0,0,0,0.1,11,69,3,63,220,,,,,140,,88,,,,
"Sports drink, fruit flavour, low Calorie, ready-to-drink (GatoradeTM, PoweradeTM)",0,0,0,0,0.1,91,26,3,23,0,,,,,0,,16,,,,
"Sports drink, fruit flavour, ready-to-drink (GatoradeTM, PoweradeTM)",0,,0,0,0.5,101,36,3,23,0,,,,,3,,1,,,,
"Water, mineral (PerrierTM)",0,0,0,0,0,3,0,0,0,0,,,,,35,,0,,,,
"Water, municipal",0,0,0,0,0,5,0,3,0,0,,,,,5,,0,,,,
"Beer, de-alcoholized, (Labbat .5TM)",1,,0.1,0,0.2,45,28,24,56,0,,,,,24,,2,,,,
"Beer, high alcohol (7%alcohol by volume)",1,0,0,0,0.1,17,86,21,41,0,,,,,17,,0,,,,
"Beer, light (4% alcohol by volume)",1,0,0,0,0.1,14,71,17,41,0,,,,,14,,0,,,,
"Beer, regular (5% alcohol by volume)",1,0,0,0,0.1,14,92,21,48,0,,,,,14,,0,,,,
"Cocktail, daiquiri",,,,0,0.1,6,27,3,6,0,,,,,4,,2,,,,
"Cocktail, margarita",,,,0,0.1,527,23,2,7,,,,,,4,,2,,,,
"Liqueur, coffee and cream",1,8,5.1,31,0.1,48,17,1,26,91,,,,,8,,,,,,
Sangria,,,,0,0.2,13,80,8,10,1,,,,,9,,6,,,,
"Spirits (gin, rum, vodka, whisky)",0,0,0,0,,1,1,0,2,0,,,,,0,,0,,,,
Vodka cooler,,1,,0,0.9,12,211,23,19,,,,,,20,,11,,,,
"Wine, dessert, sweet",,0,0,0,0.3,11,117,11,11,0,,,,,10,,0,,,,
"Wine, table, red",,0,0,0,0.5,6,140,16,17,0,,,,,10,,0,,,,
"Wine, table, white",,0,0,0,0.4,6,100,12,17,0,,,,,11,,0,,,,
Apple with skin (7cm.diam),,,,,0.2,1,148,7,15,4,,0,,,8,,6,,,,
"Applesauce, unsweetened",,,,,0.2,3,97,4,9,1,,0,,,4,,13,,,,
"Apricots, dried",1,,,,1.3,3,389,13,33,133,,0,,,13,,2,,,,
"Apricots, raw",1,,,,0.4,1,272,11,24,101,,0,,,14,,11,,,,
Avocado,2,15,,,0.6,7,487,29,52,7,,0,,,12,,10,,,,
Banana,1,,,,0.3,1,422,32,26,4,,0,,,6,,10,,,,
Blackberries,1,,,,0.5,1,123,15,17,8,,0,,,22,,16,,,,
"Blueberries, frozen, unsweetened",,1,,,0.1,1,44,4,9,2,,0,,,7,,2,,,,
"Blueberries, raw",1,,,,0.2,1,59,5,9,2,,0,,,5,,7,,,,
"Cherries, sweet",1,,,,0.2,0,151,7,14,2,,0,,,9,,5,,,,
Clementine,1,,,,0.1,1,131,7,16,,,0,,,22,,36,,,,
"Cranberries, dried, sweetened",,,,,0.2,1,12,2,2,0,,0,,,3,,,,,,
"Dates, dried",1,,,,0.3,,163,11,15,0,,0,,,10,,,,,,
"Figs, dried",1,,,,0.3,2,114,11,11,,,0,,,27,,,,,,
"Figs, raw",,,,,0.2,1,116,9,7,4,,0,,,18,,1,,,,
"Fruit cocktail, canned, juice pack",1,,,,0.3,5,119,9,18,19,,0,,,10,,3,,,,
"Fruit cocktail, canned, light syrup pack",1,,,,0.4,8,114,6,14,13,,0,,,8,,2,,,,
"Fruit salad, tropical, canned, heavy syrup pack",1,,,,0.7,3,178,18,10,8,,0,,,18,,24,,,,
"Fruit salad, tropical, canned, juice pack",1,,,,0.3,4,160,14,10,8,,0,,,17,,16,,,,
"Grapefruit, pink or red",1,,,,0.1,0,166,11,22,71,,0,,,27,,38,,,,
"Grapefruit, white",1,,,,0.1,0,175,11,9,2,,0,,,14,,39,,,,
Grapes,1,,,,0.4,2,191,7,20,3,,0,,,10,,11,,,,
Groundcherries,1,,,,0.5,,75,,19,17,,0,,,4,,5,,,,
Kiwifruit,1,,,,0.2,2,237,13,26,3,,0,,,26,,70,,,,
Lychees (litchis),1,,,,0.3,1,164,10,30,0,,0,,,5,,69,,,,
Mango,1,,,,0.1,2,161,9,11,39,,0,,,10,,29,,,,
"Melon, cantaloupe, cubes",1,,,,0.2,14,226,10,13,143,,0,,,8,,31,,,,
"Melon, honeydew, cubes",,,,,0.2,16,205,9,10,3,,0,,,5,,16,,,,
"Melon, watermelon, cubes",,,,,0.2,1,90,8,9,22,,0,,,6,,7,,,,
Nectarine,1,,,,0.4,0,273,12,35,18,,0,,,8,,7,,,,
Orange,1,,,,0.1,0,237,13,18,8,,0,,,52,,70,,,,
"Papaya, cubes",,,,,0.1,2,190,7,4,17,,0,,,18,,46,,,,
Peach,1,,,,0.2,0,186,9,20,16,,0,,,6,,6,,,,
"Peach, canned halves or slices, juice pack",1,,,,0.4,5,169,9,22,25,,0,,,8,,5,,,,
"Peach, canned halves or slices, light syrup pack",1,,,,0.5,7,129,7,15,24,,0,,,4,,9,,,,
"Peach, canned halves or slices, water pack",1,,,,0.4,4,128,6,13,35,,0,,,3,,4,,,,
